pandemic,virus,fft,par,lcl,ucl,subperiod
0,Influenza A,1,0.01821,0.01389,0.02251,Pre-pandemic
0,Influenza B,1,0.00153,-0.00135,0.00441,Pre-pandemic
0,Respiratory Syncytial Virus,1,-0.00453,-0.0121,0.00299,Pre-pandemic
0,All Respiratory Viruses,1,0.015309999999999999,0.00455,0.022949999999999998,Pre-pandemic
0,Influenza A,0,0.02889,0.024860000000000004,0.0329,Pre-pandemic
0,Influenza B,0,0.00213,-0.0006900000000000001,0.0049499999999999995,Pre-pandemic
0,Respiratory Syncytial Virus,0,0.01865,0.013309999999999999,0.02396,Pre-pandemic
0,All Respiratory Viruses,0,0.04873,0.04337,0.05406,Pre-pandemic
1,SARS-CoV-2,1,0.06477000000000001,0.04482,0.08429,Combined
1,Influenza A,1,0.00635,-0.00106,0.0159,Combined
1,Influenza B,1,8.999999999999999e-05,-0.005600000000000001,0.0058,Combined
1,Respiratory Syncytial Virus,1,0.00947,-0.0001,0.019,Combined
1,All Respiratory Viruses,1,0.07612000000000001,0.051449999999999996,0.10015,Combined
1,SARS-CoV-2,0,0.080304,0.05733,0.10271000000000001,Combined
1,Influenza A,0,0.00745,-0.00106,0.0159,Combined
1,Influenza B,0,0.00356,-0.00464,0.011699999999999999,Combined
1,Respiratory Syncytial Virus,0,0.0177,0.007189999999999999,0.02809,Combined
1,All Respiratory Viruses,0,0.10590999999999999,0.08022,0.13089,Combined
1,SARS-CoV-2,0,0.09300000000000001,0.069,0.11599999999999999,PHEIC
1,SARS-CoV-2,1,0.073,0.05,0.096,PHEIC
1,SARS-CoV-2,0,0.083,0.024,0.139,Post-PHEIC
1,SARS-CoV-2,1,0.098,0.011000000000000001,0.177,Post-PHEIC
