year,month,population,date,series_month,prepandemic,pheic,postpheic,pandemic,flua_attr_fft,flub_attr_fft,rsv_attr_fft,rsv_attr_nofft,sars_attr_fft,combined_attr_fft,date_str
1991,1,10355101,15jan1991,1,1,0,0,0,,,,,,,1991-01-15
1991,2,10355101,15feb1991,2,1,0,0,0,,,,,,,1991-02-15
1991,3,10355101,15mar1991,3,1,0,0,0,,,,,,,1991-03-15
1991,4,10385937,15apr1991,4,1,0,0,0,,,,,,,1991-04-15
1991,5,10385937,15may1991,5,1,0,0,0,,,,,,,1991-05-15
1991,6,10385937,15jun1991,6,1,0,0,0,,,,,,,1991-06-15
1991,7,10431316,15jul1991,7,1,0,0,0,,,,,,,1991-07-15
1991,8,10431316,15aug1991,8,1,0,0,0,,,,,,,1991-08-15
1991,9,10431316,15sep1991,9,1,0,0,0,,,,,,,1991-09-15
1991,10,10465562,15oct1991,10,1,0,0,0,,,,,,,1991-10-15
1991,11,10465562,15nov1991,11,1,0,0,0,,,,,,,1991-11-15
1991,12,10465562,15dec1991,12,1,0,0,0,,,,,,,1991-12-15
1992,1,10488022,15jan1992,13,1,0,0,0,,,,,,,1992-01-15
1992,2,10488022,15feb1992,14,1,0,0,0,,,,,,,1992-02-15
1992,3,10488022,15mar1992,15,1,0,0,0,,,,,,,1992-03-15
1992,4,10528346,15apr1992,16,1,0,0,0,,,,,,,1992-04-15
1992,5,10528346,15may1992,17,1,0,0,0,,,,,,,1992-05-15
1992,6,10528346,15jun1992,18,1,0,0,0,,,,,,,1992-06-15
1992,7,10572205,15jul1992,19,1,0,0,0,,,,,,,1992-07-15
1992,8,10572205,15aug1992,20,1,0,0,0,,,,,,,1992-08-15
1992,9,10572205,15sep1992,21,1,0,0,0,,,,,,,1992-09-15
1992,10,10610665,15oct1992,22,1,0,0,0,,,,,,,1992-10-15
1992,11,10610665,15nov1992,23,1,0,0,0,,,,,,,1992-11-15
1992,12,10610665,15dec1992,24,1,0,0,0,,,,,,,1992-12-15
1993,1,10629994,15jan1993,25,1,0,0,0,,,,,,,1993-01-15
1993,2,10629994,15feb1993,26,1,0,0,0,,,,,,,1993-02-15
1993,3,10629994,15mar1993,27,1,0,0,0,,,,,,,1993-03-15
1993,4,10656924,15apr1993,28,1,0,0,0,,,,,,,1993-04-15
1993,5,10656924,15may1993,29,1,0,0,0,,,,,,,1993-05-15
1993,6,10656924,15jun1993,30,1,0,0,0,,,,,,,1993-06-15
1993,7,10690038,15jul1993,31,1,0,0,0,,,,,,,1993-07-15
1993,8,10690038,15aug1993,32,1,0,0,0,,,,,,,1993-08-15
1993,9,10690038,15sep1993,33,1,0,0,0,0,0,0,0,,0,1993-09-15
1993,10,10728737,15oct1993,34,1,0,0,0,0,0,-.79599673,3.2664537,,-.79599673,1993-10-15
1993,11,10728737,15nov1993,35,1,0,0,0,0,0,-2.5329354,10.148453,,-2.5329354,1993-11-15
1993,12,10728737,15dec1993,36,1,0,0,0,3.901722,.080664642,-5.1740608,20.50411,,-1.1651863,1993-12-15
1994,1,10744762,15jan1994,37,1,0,0,0,27.126535,.051751234,-7.7747369,31.315659,,19.668032,1994-01-15
1994,2,10744762,15feb1994,38,1,0,0,0,17.511713,0,-9.618804,38.952209,,8.1098928,1994-02-15
1994,3,10744762,15mar1994,39,1,0,0,0,5.5047174,.091069087,-11.474105,47.331657,,-5.7929211,1994-03-15
1994,4,10776819,15apr1994,40,1,0,0,0,0,0,-3.5567336,14.628621,,-3.5567336,1994-04-15
1994,5,10776819,15may1994,41,1,0,0,0,1.1679801,0,-.88313472,3.7108185,,.28625897,1994-05-15
1994,6,10776819,15jun1994,42,1,0,0,0,0,0,-.57659566,2.4735167,,-.57659566,1994-06-15
1994,7,10819146,15jul1994,43,1,0,0,0,0,0,0,0,,0,1994-07-15
1994,8,10819146,15aug1994,44,1,0,0,0,0,0,0,0,,0,1994-08-15
1994,9,10819146,15sep1994,45,1,0,0,0,0,0,-.74693972,3.1541307,,-.74693972,1994-09-15
1994,10,10860406,15oct1994,46,1,0,0,0,0,0,-.61348492,2.5153906,,-.61348492,1994-10-15
1994,11,10860406,15nov1994,47,1,0,0,0,0,.1358504,-1.2845362,5.1241717,,-1.14847,1994-11-15
1994,12,10860406,15dec1994,48,1,0,0,0,.27536952,0,-9.5216675,38.205311,,-9.2427368,1994-12-15
1995,1,10875308,15jan1995,49,1,0,0,0,2.776053,.15872395,-15.22473,61.813499,,-12.231174,1995-01-15
1995,2,10875308,15feb1995,50,1,0,0,0,13.354094,.33802924,-12.727442,51.96701,,1.1878974,1995-02-15
1995,3,10875308,15mar1995,51,1,0,0,0,36.754078,2.1803262,-6.623735,27.554823,,32.538948,1995-03-15
1995,4,10906895,15apr1995,52,1,0,0,0,12.531996,3.3239796,-4.7319193,19.782444,,11.16929,1995-04-15
1995,5,10906895,15may1995,53,1,0,0,0,4.6203933,1.6463031,-1.9419339,8.2231884,,4.3312087,1995-05-15
1995,6,10906895,15jun1995,54,1,0,0,0,2.114327,.1745957,-.57057875,2.4522905,,1.719687,1995-06-15
1995,7,10950119,15jul1995,55,1,0,0,0,1.7705822,0,-.65308577,2.8343549,,1.1192087,1995-07-15
1995,8,10950119,15aug1995,56,1,0,0,0,0,0,-1.1243992,4.8516169,,-1.1243992,1995-08-15
1995,9,10950119,15sep1995,57,1,0,0,0,0,0,-.66325265,2.7996271,,-.66325265,1995-09-15
