year,month,date,deaths,population,monthly_flua_pct_pos,monthly_flub_pct_pos,monthly_rsv_pct_pos,monthly_sars_pct_pos,monthly_adj_cases,deaths100k
1991.0,1.0,1991-01-15,6542.0,10355101,,,,0.0,0.0,758.1191144345188
1991.0,2.0,1991-02-15,5694.0,10355101,,,,0.0,0.0,659.848706449121
1991.0,3.0,1991-03-15,6357.0,10355101,,,,0.0,0.0,736.6804051452516
1991.0,4.0,1991-04-15,5906.0,10385937,,,,0.0,0.0,682.3842663401482
1991.0,5.0,1991-05-15,6010.0,10385937,,,,0.0,0.0,694.4005148500323
1991.0,6.0,1991-06-15,5717.0,10385937,,,,0.0,0.0,660.547045490455
1991.0,7.0,1991-07-15,5856.0,10431316,,,,0.0,0.0,673.6638023428683
1991.0,8.0,1991-08-15,5767.0,10431316,,,,0.0,0.0,663.425400975294
1991.0,9.0,1991-09-15,5764.0,10431316,,,,0.0,0.0,663.0802863224544
1991.0,10.0,1991-10-15,6124.0,10465562,,,,0.0,0.0,702.1887596671827
1991.0,11.0,1991-11-15,6203.0,10465562,,,,0.0,0.0,711.2470405316027
1991.0,12.0,1991-12-15,6977.0,10465562,,,,0.0,0.0,799.9952606462989
1992.0,1.0,1992-01-15,6737.0,10488022,,,,0.0,0.0,770.8221817231123
1992.0,2.0,1992-02-15,6056.0,10488022,,,,0.0,0.0,692.9047250282274
1992.0,3.0,1992-03-15,6326.0,10488022,,,,0.0,0.0,723.7971087398558
1992.0,4.0,1992-04-15,5889.0,10528346,,,,0.0,0.0,671.2165424654547
1992.0,5.0,1992-05-15,6161.0,10528346,,,,0.0,0.0,702.2185631057339
1992.0,6.0,1992-06-15,5751.0,10528346,,,,0.0,0.0,655.4875761111955
1992.0,7.0,1992-07-15,5779.0,10572205,,,,0.0,0.0,655.9464179894354
1992.0,8.0,1992-08-15,5903.0,10572205,,,,0.0,0.0,670.0210599397192
1992.0,9.0,1992-09-15,5658.0,10572205,,,,0.0,0.0,642.212291570207
1992.0,10.0,1992-10-15,6329.0,10610665,,,,0.0,0.0,715.7704064731098
1992.0,11.0,1992-11-15,6144.0,10610665,,,,0.0,0.0,694.8480608896803
1992.0,12.0,1992-12-15,6473.0,10610665,,,,0.0,0.0,732.0559079002118
1993.0,1.0,1993-01-15,6631.0,10629994,,,,0.0,0.0,748.5610998463404
1993.0,2.0,1993-02-15,6099.0,10629994,,,,0.0,0.0,688.5046219217056
1993.0,3.0,1993-03-15,7158.0,10629994,,,,0.0,0.0,808.0531371889767
1993.0,4.0,1993-04-15,6406.0,10656924,,,,0.0,0.0,721.3338483036944
1993.0,5.0,1993-05-15,6256.0,10656924,,,,0.0,0.0,704.4434210096647
1993.0,6.0,1993-06-15,5802.0,10656924,,,,0.0,0.0,653.3217277330682
1993.0,7.0,1993-07-15,6084.0,10690038,,,,0.0,0.0,682.953605964731
1993.0,8.0,1993-08-15,5966.0,10690038,,,,0.0,0.0,669.7076287287285
1993.0,9.0,1993-09-15,5934.0,10690038,0.0,0.0,0.0,0.0,0.0,666.1154993087957
1993.0,10.0,1993-10-15,6413.0,10728737,0.0,0.0,1.4018692,0.0,0.0,717.2885307935128
1993.0,11.0,1993-11-15,6234.0,10728737,0.0,0.0,4.3392506,0.0,0.0,697.2675348459003
1993.0,12.0,1993-12-15,6870.0,10728737,1.3872832,0.115606934,8.641975,0.0,0.0,768.4035874865793
1994.0,1.0,1994-01-15,8094.0,10744762,9.448819,0.07158196,12.5159645,0.0,0.0,903.9567372455526
1994.0,2.0,1994-02-15,6428.0,10744762,6.1965814,0.0,15.804067,0.0,0.0,717.893984064049
1994.0,3.0,1994-03-15,6503.0,10744762,2.0107238,0.13404825,19.581959,0.0,0.0,726.2701584269619
1994.0,4.0,1994-04-15,6224.0,10776819,0.0,0.0,6.269113,0.0,0.0,693.0430955553768
1994.0,5.0,1994-05-15,6483.0,10776819,0.44843048,0.0,1.6,0.0,0.0,721.8827744995995
1994.0,6.0,1994-06-15,6187.0,10776819,0.0,0.0,1.0714285,0.0,0.0,688.9231414204878
1994.0,7.0,1994-07-15,6196.0,10819146,0.0,0.0,0.0,0.0,0.0,687.2261452059155
1994.0,8.0,1994-08-15,5926.0,10819146,0.0,0.0,0.0,0.0,0.0,657.279234423863
1994.0,9.0,1994-09-15,6062.0,10819146,0.0,0.0,1.369863,0.0,0.0,672.3636042992673
1994.0,10.0,1994-10-15,6515.0,10860406,0.0,0.0,1.0940919,0.0,0.0,719.8625907723891
1994.0,11.0,1994-11-15,6247.0,10860406,0.0,0.2016129,2.226345,0.0,0.0,690.2504381512073
1994.0,12.0,1994-12-15,6931.0,10860406,0.1,0.0,16.23077,0.0,0.0,765.8277231992985
1995.0,1.0,1995-01-15,6946.0,10875308,1.0046368,0.23183925,25.728699,0.0,0.0,766.4334656085143
1995.0,2.0,1995-02-15,6744.0,10875308,4.8150735,0.4884857,21.316784,0.0,0.0,744.1444417022487
1995.0,3.0,1995-03-15,7278.0,10875308,13.188406,3.0917873,10.916628,0.0,0.0,803.0669108405941
1995.0,4.0,1995-04-15,6702.0,10906895,4.688701,4.9961567,8.267433,0.0,0.0,737.368426119441
1995.0,5.0,1995-05-15,6690.0,10906895,1.7897092,2.572707,3.5379813,0.0,0.0,736.0481603609461
1995.0,6.0,1995-06-15,6179.0,10906895,0.84033614,0.28011206,1.0695187,0.0,0.0,679.8268434783686
1995.0,7.0,1995-07-15,6337.0,10950119,0.7117438,0.0,1.2383901,0.0,0.0,694.4582063446069
1995.0,8.0,1995-08-15,6081.0,10950119,0.0,0.0,2.1276596,0.0,0.0,666.4037167084668
